id,crid,is_officer_complaint,disciplined,gender,race,rank,current_salary,allegation_count,discipline_count,honorable_mention_count,major_award_count,civilian_compliment_count
11016,265477,false,true,M,Asian/Pacific,Police Officer,,8,3,0,0,0
11022,C157946,false,true,F,White,Police Officer as Detective,99888,7,1,0,0,2
11023,C217699,false,true,M,White,Police Forensic Investigator I,,1,1,1,0,0
11036,C191812,false,true,M,White,Police Officer as Detective,,12,1,0,0,0
11046,C155251,false,true,M,Hispanic,Police Officer,83604,13,2,0,0,0
11047,C220046,false,true,M,Hispanic,Police Officer Assigned as Armorer,,1,1,0,0,0
11054,C193064,false,true,M,Hispanic,Sergeant of Police,,8,2,1,0,1
11056,C254096,false,true,F,Hispanic,Police Officer,93354,14,3,11,0,7
11059,C190706,false,true,M,Hispanic,Police Officer / Field Training Officer,82008,9,3,18,1,0
11061,298076,false,true,M,Hispanic,Commander,125190,16,1,16,0,1
11069,C263795,false,true,F,White,Police Officer,93354,4,2,4,0,3
11070,278765,false,true,F,White,Police Officer,,1,1,0,0,0
11073,306910,false,true,M,White,Police Officer,70656,13,1,1,0,1
11077,C201449,false,true,M,White,Police Officer,78006,24,4,2,0,2
11090,1087079,false,true,M,Hispanic,Police Officer / Field Training Officer,98052,14,3,28,0,3
11103,C222858,false,true,M,Black,Police Officer,79152,1,1,0,0,4
11105,C173454,false,true,M,White,Lieutenant of Police,122718,15,4,2,0,7
11110,C209908,false,true,M,White,Police Officer / Mounted Patrol Officer,90540,6,1,0,0,2
11114,C189833,false,true,M,White,Police Officer as Detective,74946,10,1,0,0,0
11129,1079748,false,true,M,White,Police Officer,93354,48,3,169,0,4
11130,284070,false,true,M,Black,Police Officer,93354,18,1,5,0,2
11132,C193452,false,true,M,White,Police Officer,,10,2,4,0,0
11138,C246807,false,true,M,White,Police Officer,93354,7,1,4,0,1
11139,C205756,false,true,F,White,Police Officer / Mounted Patrol Officer,,5,1,0,0,0
11141,C201082,false,true,F,White,Police Officer Assigned Canine Handler,97080,25,2,25,0,2
11146,C209907,false,true,M,Black,Police Officer,93354,7,1,13,1,2
11150,C245309,false,true,M,White,Police Officer as Detective,90456,18,1,0,0,2
11154,C185665,false,true,M,White,Police Officer as Detective,,11,1,0,0,0
11163,C231989,false,true,M,White,Sergeant of Police,102978,8,1,10,0,3
11164,C250652,false,true,M,White,Police Officer,93354,26,1,74,0,10
11165,C257178,false,true,M,Hispanic,Police Officer,58572,17,9,5,0,0
11169,C238430,false,true,M,Black,Police Officer,96060,38,2,7,0,5
11175,C182441,false,true,M,Black,Police Officer,,12,3,0,0,0
11179,C193099,false,true,M,White,Police Officer Assigned Evidence Technician,84876,22,3,5,0,0
11184,C239164,false,true,F,Black,Police Officer,93354,15,4,12,1,1
11185,C222066,false,true,M,Black,Police Officer,,6,1,8,0,0
11186,C237500,false,true,M,White,Police Officer,93354,42,2,24,0,2
