src,dst,relationship
14007,13272,1028193
14007,15836,1028193
14007,18998,1028193
14007,19798,1028193
14007,20616,1028193
14007,21364,1028193
14007,22258,1028193
14007,22554,1028193
14007,22648,1028193
14007,24039,1028193
14007,24063,1028193
14007,25230,1028193
14007,27668,1028193
14007,28178,1028193
14007,28384,1028193
14007,29252,1028193
14007,31536,1028193
14007,32014,1028193
14007,32042,1028193
14007,32072,1028193
14007,32111,1028193
14007,32356,1028193
14007,32390,1028193
15836,560,1028193
15836,1739,1028193
15836,2201,1028193
15836,2356,1028193
15836,2375,1028193
15836,3526,1028193
15836,4226,1028193
15836,4254,1028193
15836,4565,1028193
15836,6131,1028193
15836,6704,1028193
15836,6852,1028193
15836,7032,1028193
15836,8220,1028193
15836,9648,1028193
15836,10905,1028193
15836,12947,1028193
15836,13093,1028193
15836,13272,1028193
15836,14007,1028193
15836,18998,1028193
15836,19798,1028193
15836,20616,1028193
15836,21364,1028193
15836,22258,1028193
15836,22554,1028193
15836,22648,1028193
15836,24039,1028193
15836,24063,1028193
15836,25230,1028193
15836,27668,1028193
15836,28178,1028193
15836,28384,1028193
15836,29252,1028193
15836,31536,1028193
15836,32014,1028193
15836,32042,1028193
15836,32072,1028193
15836,32111,1028193
15836,32356,1028193
15836,32390,1028193
18998,560,1028193
18998,1739,1028193
18998,2201,1028193
18998,2356,1028193
18998,2375,1028193
18998,3526,1028193
18998,4226,1028193
18998,4254,1028193
18998,4565,1028193
18998,6131,1028193
18998,6704,1028193
18998,6852,1028193
18998,7032,1028193
18998,8220,1028193
18998,9648,1028193
18998,10905,1028193
18998,12947,1028193
18998,13093,1028193
18998,13272,1028193
18998,14007,1028193
18998,15836,1028193
18998,19798,1028193
18998,20616,1028193
18998,21364,1028193
18998,22258,1028193
18998,22554,1028193
18998,22648,1028193
18998,24039,1028193
18998,24063,1028193
18998,25230,1028193
18998,27668,1028193
18998,28178,1028193
18998,28384,1028193
18998,29252,1028193
18998,31536,1028193
18998,32014,1028193
18998,32042,1028193
18998,32072,1028193
18998,32111,1028193
18998,32356,1028193
18998,32390,1028193
19798,560,1028193
19798,1739,1028193
19798,2201,1028193
19798,2356,1028193
19798,2375,1028193
19798,3526,1028193
19798,4226,1028193
19798,4254,1028193
19798,4565,1028193
19798,6131,1028193
19798,6704,1028193
19798,6852,1028193
19798,7032,1028193
19798,8220,1028193
19798,9648,1028193
19798,10905,1028193
19798,12947,1028193
19798,13093,1028193
19798,13272,1028193
19798,14007,1028193
19798,15836,1028193
